SURVEY_NAME,BIRTHDATE,SEX,GENDER,Q1,Q1_YES,Q1_OTHER,ADDRESS,FAMILY_INCOME,Q2,SCHOOL,SCHOOL_TYPE,ACADEMIC_STATUS,COURSE,Q3,Q3_OTHER,Q4,Q5,Q6,Q6_OTHER,Q7,Q8,Q8_OTHER,Q9,Q9_OTHER,Q3_Free Higher Education (FHE),Q3_Tertiary Education Subsidy (TES),Q6_My family socioeconomic status,Q6_My enrollment in state/government school,Q6_The type of course I am enrolled in,Q6_Others,Q9_Uniform,Q9_Books and other school materials,Q9_Subsidy for school activities,Q9_Others,AGE
Student Survey Entry,2000,Female,,No,,,"Masbate,Esperanza,Santiago","Less than 50,000",No,Bicol University-Main,State University and Colleges (SUC),Irregular,Bachelor of Science in Information Technology,Tertiary Education Subsidy (TES),,Yes,7,My family’s socioeconomic status,,No,My parents or my other relatives will support it,,Subsidy for school activities,,,1.0,0.0,,,,,,1.0,,23
Student Survey Entry,2001,Male,,No,,,"Sorsogon,Matnog,Hidhid","Less than 50,000",No,Bicol University-Main,State University and Colleges (SUC),Regular,Bachelor of Science in Information Technology,Free Higher Education (FHE),,No,3,"My family’s socioeconomic status,My enrollment in a state/government school,The type of course I am enrolled in",,No,My parents or my other relatives will support it,,Books and other school materials,,1.0,,0.0,0.0,1.0,,,1.0,,,22
Student Survey Entry,2002,Female,,No,,,"Albay,Guinobatan,Calzada","Within 50,000 - 100,000",No,Bicol University-Main,State University and Colleges (SUC),Regular,BS Information Technology,Free Higher Education (FHE),,No,6,"My family’s socioeconomic status,My enrollment in a state/government school,The type of course I am enrolled in",,Yes,My parents or my other relatives will support it,,Books and other school materials,,1.0,,0.0,0.0,1.0,,,1.0,,,21
Student Survey Entry,2001,Female,,No,,,"Albay,Legazpi City (Capital),Bgy. 32 - San Roque (Bgy. 66)","Less than 50,000",Yes,Bicol University-Main,Local University and Colleges (LUC),Regular,BS Information Technology,Free Higher Education (FHE),,Yes,6,My family’s socioeconomic status,,Yes,I will work part time to support it,,"Others, please specify",School allowance and transportation fees,1.0,,0.0,,,,,,,1.0,22
Student Survey Entry,2002,Female,,No,,,"Sorsogon,Pilar,Salvacion","Less than 50,000",Yes,Bicol University-Main,Local University and Colleges (LUC),Regular,BS Information Technology,Free Higher Education (FHE),,Yes,6,My family’s socioeconomic status,,Yes,I will work part time to support it,,"Others, please specify",Transportation Fare and School Allowance,1.0,,0.0,,,,,,,1.0,21
Student Survey Entry,2002,Female,,No,,,"Albay,Pio Duran,Cuyaoyao","Less than 50,000",Yes,Bicol University-Main,Local University and Colleges (LUC),Regular,BS Information Technology,Free Higher Education (FHE),,Yes,,My family’s socioeconomic status,,Yes,My parents or my other relatives will support it,,"Others, please specify",Transportation fare and School Allowance,1.0,,0.0,,,,,,,1.0,21
Student Survey Entry,2001,Female,,No,,,"Albay,Bacacay,Hindi","Less than 50,000",No,Bicol University-Main,State University and Colleges (SUC),Regular,BS Information Technology,Free Higher Education (FHE),,No,,My enrollment in a state/government school,,Yes,I will work part time to support it,,Subsidy for school activities,,1.0,,,0.0,,,,,1.0,,22
Student Survey Entry,2001,Male,,No,,,"Sorsogon,Donsol,Poso Pob. (Barangay 5)","Less than 50,000",No,Bicol University-Main,Local University and Colleges (LUC),Regular,Information Technology,Free Higher Education (FHE),,Yes,7,The type of course I am enrolled in,,Yes,My parents or my other relatives will support it,,Subsidy for school activities,,1.0,,,,1.0,,,,1.0,,22
Student Survey Entry,2001,Male,,No,,,"Albay,Bacacay,Basud","Within 50,000 - 100,000",No,Bicol University-Main,State University and Colleges (SUC),Regular,Information Technology,Free Higher Education (FHE),,Yes,1,"My family’s socioeconomic status,My enrollment in a state/government school,The type of course I am enrolled in",,Yes,My parents or my other relatives will support it,,Subsidy for school activities,,1.0,,0.0,0.0,1.0,,,,1.0,,22
Student Survey Entry,2002,Male,,No,,,"Albay,Legazpi City (Capital),Bgy. 39 - Bonot (Pob.)","Within 50,000 - 100,000",No,Bicol University-Main,State University and Colleges (SUC),Regular,BS Information Technology ,Free Higher Education (FHE),,No,6,My enrollment in a state/government school,,Yes,My parents or my other relatives will support it,,Books and other school materials,,1.0,,,0.0,,,,1.0,,,21
Student Survey Entry,2001,Male,,No,,,"Albay,Libon,Rawis","Less than 50,000",No,Bicol University-Main,State University and Colleges (SUC),Regular,BS Information Technology,Free Higher Education (FHE),,Yes,6,"My family’s socioeconomic status,The type of course I am enrolled in",,Yes,I will work part time to support it,,Books and other school materials,,1.0,,0.0,,1.0,,,1.0,,,22
Student Survey Entry,2002,Female,,No,,,"Albay,Santo Domingo (Libog),Santo Niño","Less than 50,000",Yes,Bicol University-Main,State University and Colleges (SUC),Regular,IT,Free Higher Education (FHE),,No,,My family’s socioeconomic status,,No,I will work part time to support it,,Uniform,,1.0,,0.0,,,,1.0,,,,21
Student Survey Entry,2001,Female,,No,,,"Masbate,Dimasalang,Gaid","Less than 50,000",No,Bicol University-Main,State University and Colleges (SUC),Regular,Information Technology,Free Higher Education (FHE),,No,6,"My family’s socioeconomic status,My enrollment in a state/government school",,Yes,My parents or my other relatives will support it,,Books and other school materials,,1.0,,0.0,0.0,,,,1.0,,,22
Student Survey Entry,2002,Female,,No,,,"Sorsogon,Pilar,Sacnangan","Less than 50,000",No,Bicol University-Main,State University and Colleges (SUC),Regular,Information Technology,Free Higher Education (FHE),,Yes,6,"My family’s socioeconomic status,The type of course I am enrolled in",,Yes,My parents or my other relatives will support it,,Books and other school materials,,1.0,,0.0,,1.0,,,1.0,,,21
Student Survey Entry,2000,Female,,No,,,"Albay,Legazpi City (Capital),Bgy. 56 - Taysan (Bgy. 68)","Less than 50,000",No,Bicol University-Main,State University and Colleges (SUC),Regular,Information Technology,Free Higher Education (FHE),,Yes,5,"My family’s socioeconomic status,My enrollment in a state/government school,The type of course I am enrolled in",,Yes,My parents or my other relatives will support it,,Books and other school materials,,1.0,,0.0,0.0,1.0,,,1.0,,,23
Student Survey Entry,2001,Female,,No,,,"Albay,Manito,","Less than 50,000",No,Bicol University-Main,State University and Colleges (SUC),Regular,Information Technology,Free Higher Education (FHE),,Yes,5,"My family’s socioeconomic status,My enrollment in a state/government school,The type of course I am enrolled in",,No,I will work part time to support it,,Books and other school materials,,1.0,,0.0,0.0,1.0,,,1.0,,,22
Student Survey Entry,2001,Female,,Yes,,,"Albay,Daraga (Locsin),Bascaran","Less than 50,000",No,Bicol University-Main,State University and Colleges (SUC),Regular,BSIT,Free Higher Education (FHE),,No,6,The type of course I am enrolled in,,No,My parents or my other relatives will support it,,Books and other school materials,,1.0,,,,1.0,,,1.0,,,22
Student Survey Entry,2002,Male,,No,,,"Albay,City Of Tabaco,Pinagbobong","Less than 50,000",No,Bicol University-Main,State University and Colleges (SUC),Regular,BS-Information Technology,Free Higher Education (FHE),,Yes,6,My family’s socioeconomic status,,Yes,My parents or my other relatives will support it,,Uniform,,1.0,,0.0,,,,1.0,,,,21
Student Survey Entry,2002,Male,,No,,,"Albay,Legazpi City (Capital),Bgy. 38 - Gogon (Bgy. 54)","Less than 50,000",No,Bicol University-Main,State University and Colleges (SUC),Irregular,Information Technology,Free Higher Education (FHE),,Yes,5,My family’s socioeconomic status,,Yes,I will work part time to support it,,Uniform,,1.0,,0.0,,,,1.0,,,,21
Student Survey Entry,2001,Male,,No,,,"Sorsogon,City Of Sorsogon (Capital),Balogo (Sorsogon East District)","Less than 50,000",No,Bicol University-Main,State University and Colleges (SUC),Regular,Information Technology,,,No,5,My enrollment in a state/government school,,Yes,My parents or my other relatives will support it,,Books and other school materials,,,,,0.0,,,,1.0,,,22
Student Survey Entry,2001,Female,,No,,,"Albay,City Of Tabaco,San Lorenzo","Within 50,000 - 100,000",No,Bicol University-Main,State University and Colleges (SUC),Regular,INFORMATION TECHNOLOGY,"Free Higher Education (FHE),Tertiary Education Subsidy (TES)",,Yes,6,My enrollment in a state/government school,,No,I will work part time to support it,,Books and other school materials,,1.0,1.0,,0.0,,,,1.0,,,22
Student Survey Entry,2001,Male,,No,,,"Albay,Legazpi City (Capital),Bgy. 11 - Maoyod Pob. (Bgy. 10 & 11)","Less than 50,000",No,Bicol University-Main,Local University and Colleges (LUC),Regular,BS Information Technology,Free Higher Education (FHE),,Yes,6,My enrollment in a state/government school,,No,My parents or my other relatives will support it,,Books and other school materials,,1.0,,,0.0,,,,1.0,,,22
Student Survey Entry,2002,Male,,No,,,"Albay,Camalig,Baligang","Less than 50,000",Yes,Bicol University-Main,State University and Colleges (SUC),Regular,BS Information Technology,Free Higher Education (FHE),,No,4,"My family’s socioeconomic status,My enrollment in a state/government school,The type of course I am enrolled in",,Yes,I will work part time to support it,,Uniform,,1.0,,0.0,0.0,1.0,,1.0,,,,21
Student Survey Entry,2002,Male,,No,,,"Albay,Camalig,Ligban","Less than 50,000",No,Bicol University-Main,State University and Colleges (SUC),Regular,BSIT,Free Higher Education (FHE),,Yes,10,The type of course I am enrolled in,,No,My parents or my other relatives will support it,,Books and other school materials,,1.0,,,,1.0,,,1.0,,,21
Student Survey Entry,2001,Male,,No,,,"Albay,Camalig,Barangay 5 (Pob.)","Less than 50,000",No,Bicol University-Main,State University and Colleges (SUC),Regular,BSIT,Free Higher Education (FHE),,No,6,My enrollment in a state/government school,,Yes,My parents or my other relatives will support it,,Subsidy for school activities,,1.0,,,0.0,,,,,1.0,,22
Student Survey Entry,2001,Male,,No,,,"Albay,Malilipot,San Isidro Iraya","Less than 50,000",Yes,Bicol University-Main,State University and Colleges (SUC),Regular,BSIT,Free Higher Education (FHE),,Yes,6,"My family’s socioeconomic status,My enrollment in a state/government school,The type of course I am enrolled in",,No,I will work part time to support it,,Subsidy for school activities,,1.0,,0.0,0.0,1.0,,,,1.0,,22
Student Survey Entry,2002,Female,,No,,,"Albay,Tiwi,Cararayan","Greater than 100,000",No,Bicol University-Main,State University and Colleges (SUC),Regular,BS Information Technology,"Free Higher Education (FHE),Tertiary Education Subsidy (TES)",,Yes,,"My family’s socioeconomic status,My enrollment in a state/government school,The type of course I am enrolled in",,No,My parents or my other relatives will support it,,Subsidy for school activities,,1.0,1.0,0.0,0.0,1.0,,,,1.0,,21
Student Survey Entry,2001,Female,,No,,,"Albay,Malinao,Estancia","Less than 50,000",No,Bicol University-Main,State University and Colleges (SUC),Regular,BSIT,"Free Higher Education (FHE),Tertiary Education Subsidy (TES)",,Yes,,"My family’s socioeconomic status,My enrollment in a state/government school,The type of course I am enrolled in",,No,My parents or my other relatives will support it,,Subsidy for school activities,,1.0,1.0,0.0,0.0,1.0,,,,1.0,,22
Student Survey Entry,2002,Female,,No,,,"Albay,Santo Domingo (Libog),San Fernando","Less than 50,000",No,Bicol University-Main,State University and Colleges (SUC),Regular,BS in Information Technology,Free Higher Education (FHE),,No,5,"My family’s socioeconomic status,My enrollment in a state/government school,The type of course I am enrolled in",,Yes,I will work part time to support it,,"Others, please specify",Laptop,1.0,,0.0,0.0,1.0,,,,,1.0,21
Student Survey Entry,2001,Male,,No,,,"Albay,Malilipot,San Francisco","Less than 50,000",No,Bicol University-Main,State University and Colleges (SUC),Regular,BS Information Technology,Tertiary Education Subsidy (TES),,No,1,"My family’s socioeconomic status,My enrollment in a state/government school,The type of course I am enrolled in",,Yes,My parents or my other relatives will support it,,"Others, please specify",Allowance,,1.0,0.0,0.0,1.0,,,,,1.0,22
Student Survey Entry,2001,Male,,No,,,"Masbate,Cawayan,Punta Batsan","Less than 50,000",No,Bicol University-Main,State University and Colleges (SUC),Regular,"BS Information Technology
",Free Higher Education (FHE),,Yes,3,My enrollment in a state/government school,,Yes,I will work part time to support it,,Uniform,,1.0,,,0.0,,,1.0,,,,22
Student Survey Entry,2001,Male,,No,,,"Albay,Daraga (Locsin),Sagpon","Less than 50,000",No,Bicol University-Main,State University and Colleges (SUC),Regular,Information Technology,Free Higher Education (FHE),,Yes,,"My family’s socioeconomic status,My enrollment in a state/government school,The type of course I am enrolled in",,Yes,I will work part time to support it,,"Others, please specify",Allowance ,1.0,,0.0,0.0,1.0,,,,,1.0,22
Student Survey Entry,2002,Male,,No,,,"Albay,Rapu-rapu,Poblacion","Less than 50,000",No,Bicol University-Main,State University and Colleges (SUC),Regular,Information Technology,Free Higher Education (FHE),,Yes,6,My enrollment in a state/government school,,Yes,My parents or my other relatives will support it,,Books and other school materials,,1.0,,,0.0,,,,1.0,,,21
Student Survey Entry,2001,Male,,No,,,"Sorsogon,City Of Sorsogon (Capital),Bibincahan","Less than 50,000",No,Bicol University-Main,State University and Colleges (SUC),Regular,BS Information Technology,Free Higher Education (FHE),,Yes,5,My family’s socioeconomic status,,No,My parents or my other relatives will support it,,Subsidy for school activities,,1.0,,0.0,,,,,,1.0,,22
Student Survey Entry,2002,Female,,No,,,"Albay,City Of Tabaco,Fatima","Within 50,000 - 100,000",No,Bicol University-Main,State University and Colleges (SUC),Regular,BS IT,"Free Higher Education (FHE),Tertiary Education Subsidy (TES)",,No,,"My family’s socioeconomic status,My enrollment in a state/government school,The type of course I am enrolled in",,No,My parents or my other relatives will support it,,Subsidy for school activities,,1.0,1.0,0.0,0.0,1.0,,,,1.0,,21
Student Survey Entry,2001,Female,,No,,,"Albay,Guinobatan,Inamnan Grande","Less than 50,000",No,Bicol University-Main,State University and Colleges (SUC),Regular,BSIT,Free Higher Education (FHE),,Yes,,"My family’s socioeconomic status,My enrollment in a state/government school",,No,I will work part time to support it,,Subsidy for school activities,,1.0,,0.0,0.0,,,,,1.0,,22
Student Survey Entry,2001,Female,,No,,,"Albay,Santo Domingo (Libog),Santo Niño","Less than 50,000",No,Bicol University-Main,State University and Colleges (SUC),Regular,Information Technology,Free Higher Education (FHE),,No,,My family’s socioeconomic status,,No,My parents or my other relatives will support it,,Subsidy for school activities,,1.0,,0.0,,,,,,1.0,,22
Student Survey Entry,2002,Male,,No,,,"Albay,Daraga (Locsin),Pandan","Less than 50,000",No,Bicol University-Main,State University and Colleges (SUC),Regular,"Information Technology
",Free Higher Education (FHE),,Yes,,My enrollment in a state/government school,,Yes,My parents or my other relatives will support it,,Books and other school materials,,1.0,,,0.0,,,,1.0,,,21
Student Survey Entry,2001,Male,,No,,,"Albay,City Of Tabaco,Divino Rostro (Pob.)","Within 50,000 - 100,000",No,Bicol University-Main,State University and Colleges (SUC),Regular,Information Technology,Free Higher Education (FHE),,Yes,4,My enrollment in a state/government school,,Yes,My parents or my other relatives will support it,,Subsidy for school activities,,1.0,,,0.0,,,,,1.0,,22
Student Survey Entry,2002,Male,,No,,,"Albay,Guinobatan,Travesia","Within 50,000 - 100,000",No,Bicol University-Main,State University and Colleges (SUC),Regular,BS Information Technology,Free Higher Education (FHE),,No,3,"My family’s socioeconomic status,My enrollment in a state/government school,The type of course I am enrolled in",,Yes,My parents or my other relatives will support it,,Books and other school materials,,1.0,,0.0,0.0,1.0,,,1.0,,,21
Student Survey Entry,2001,Male,,No,,,"Albay,Guinobatan,Inamnan Grande","Less than 50,000",No,Bicol University-Main,State University and Colleges (SUC),Regular,BS Information Technology,Free Higher Education (FHE),,No,3,"My family’s socioeconomic status,My enrollment in a state/government school,The type of course I am enrolled in",,No,My parents or my other relatives will support it,,Books and other school materials,,1.0,,0.0,0.0,1.0,,,1.0,,,22
Student Survey Entry,2000,Female,,No,,,"Albay,City Of Ligao,Tinago","Within 50,000 - 100,000",No,Bicol University-Main,State University and Colleges (SUC),Regular,Bachelor of Science in Information Technology,Free Higher Education (FHE),,No,6,My enrollment in a state/government school,,Yes,My parents or my other relatives will support it,,Subsidy for school activities,,1.0,,,0.0,,,,,1.0,,23
Student Survey Entry,2002,Female,,No,,,"Albay,Malilipot,San Isidro Iraya","Less than 50,000",No,Bicol University-Main,State University and Colleges (SUC),Regular,BS-INFORMATION TECHNOLOGY,Free Higher Education (FHE),,No,3,"My family’s socioeconomic status,My enrollment in a state/government school,The type of course I am enrolled in",,No,I will work part time to support it,,Books and other school materials,,1.0,,0.0,0.0,1.0,,,1.0,,,21
Student Survey Entry,2002,Male,,No,,,"Albay,Bacacay,Baclayon","Greater than 100,000",No,Bicol University-Main,State University and Colleges (SUC),Regular,Bachelor of Science in Information Technology ,Free Higher Education (FHE),,No,4,"My enrollment in a state/government school,The type of course I am enrolled in",,No,I will work part time to support it,,Subsidy for school activities,,1.0,,,0.0,1.0,,,,1.0,,21
Student Survey Entry,2002,Female,,No,,,"Albay,Legazpi City (Capital),Bgy. 44 - Pawa (Bgy. 61)","Less than 50,000",No,Bicol University-Main,State University and Colleges (SUC),Regular,BS Information Technology,Free Higher Education (FHE),,Yes,6,"My enrollment in a state/government school,The type of course I am enrolled in",,No,My parents or my other relatives will support it,,Books and other school materials,,1.0,,,0.0,1.0,,,1.0,,,21
Student Survey Entry,2001,Male,,No,,,"Albay,Tiwi,Libjo","Within 50,000 - 100,000",No,Bicol University-Main,State University and Colleges (SUC),Regular,Bachelor of Science in Information Technology,Free Higher Education (FHE),,No,6,The type of course I am enrolled in,,Yes,My parents or my other relatives will support it,,Subsidy for school activities,,1.0,,,,1.0,,,,1.0,,22
Student Survey Entry,2001,Female,,No,,,"Albay,Guinobatan,Calzada","Less than 50,000",No,Bicol University-Main,State University and Colleges (SUC),Regular,BS Information Technology,Free Higher Education (FHE),,Yes,6,My enrollment in a state/government school,,Yes,My parents or my other relatives will support it,,Subsidy for school activities,,1.0,,,0.0,,,,,1.0,,22
Student Survey Entry,2001,Male,,No,,,"Albay,City Of Tabaco,Agnas (San Miguel Island)","Less than 50,000",No,Bicol University-Main,State University and Colleges (SUC),Regular,BS Information Technology,Free Higher Education (FHE),,Yes,6,"My family’s socioeconomic status,The type of course I am enrolled in",,Yes,My parents or my other relatives will support it,,Subsidy for school activities,,1.0,,0.0,,1.0,,,,1.0,,22
Student Survey Entry,2001,Female,,No,,,"Albay,Legazpi City (Capital),Bgy. 41 - Bogtong (Bgy. 45)","Less than 50,000",No,Bicol University-Main,State University and Colleges (SUC),Regular,BS Information Technology,Free Higher Education (FHE),,Yes,7,"My family’s socioeconomic status,My enrollment in a state/government school,The type of course I am enrolled in",,Yes,My parents or my other relatives will support it,,Uniform,,1.0,,0.0,0.0,1.0,,1.0,,,,22
Student Survey Entry,2001,Male,,No,,,"Sorsogon,Castilla,Cumadcad","Less than 50,000",No,Bicol University-Main,State University and Colleges (SUC),Regular,BS Information Technology,Free Higher Education (FHE),,Yes,6,My family’s socioeconomic status,,Yes,My parents or my other relatives will support it,,Uniform,,1.0,,0.0,,,,1.0,,,,22
Student Survey Entry,2002,Male,,No,,,"Albay,Daraga (Locsin),Tagas","Within 50,000 - 100,000",No,Bicol University-Main,State University and Colleges (SUC),Regular,BS information technology ,Free Higher Education (FHE),,Yes,6,"My family’s socioeconomic status,My enrollment in a state/government school,The type of course I am enrolled in",,Yes,I will work part time to support it,,Books and other school materials,,1.0,,0.0,0.0,1.0,,,1.0,,,21
Student Survey Entry,2001,Female,,No,,,"Albay,Camalig,Bariw","Less than 50,000",No,Bicol University-Main,Local University and Colleges (LUC),Regular,BSIT,Free Higher Education (FHE),,No,,My family’s socioeconomic status,,Yes,I will work part time to support it,,Books and other school materials,,1.0,,0.0,,,,,1.0,,,22
Student Survey Entry,2002,Male,,No,,,"Albay,Legazpi City (Capital),Bgy. 43 - Tamaoyan (Bgy. 67)","Less than 50,000",No,Bicol University-Main,State University and Colleges (SUC),Regular,Bachelor of Science in Information Technology,Free Higher Education (FHE),,Yes,8,"My family’s socioeconomic status,My enrollment in a state/government school,The type of course I am enrolled in",,Yes,I will work part time to support it,,Books and other school materials,,1.0,,0.0,0.0,1.0,,,1.0,,,21
Student Survey Entry,2001,Male,,No,,,"Albay,Guinobatan,Inascan","Less than 50,000",No,Bicol University-Main,State University and Colleges (SUC),Regular,Bachelor of Science in Information Technology,Free Higher Education (FHE),,Yes,7,"My family’s socioeconomic status,My enrollment in a state/government school",,Yes,My parents or my other relatives will support it,,Subsidy for school activities,,1.0,,0.0,0.0,,,,,1.0,,22
Student Survey Entry,2002,Male,,No,,,"Sorsogon,Irosin,San Agustin (Pob.)","Less than 50,000",No,Bicol University-Main,State University and Colleges (SUC),Regular,BS Information Technology,Free Higher Education (FHE),,Yes,,My enrollment in a state/government school,,Yes,My parents or my other relatives will support it,,Subsidy for school activities,,1.0,,,0.0,,,,,1.0,,21
Student Survey Entry,2002,Female,,No,,,"Albay,Bacacay,Bonga (Upper)","Less than 50,000",No,Bicol University-Main,State University and Colleges (SUC),Regular,BS Information Technology,Free Higher Education (FHE),,Yes,4,"My enrollment in a state/government school,The type of course I am enrolled in",,Yes,My parents or my other relatives will support it,,Uniform,,1.0,,,0.0,1.0,,1.0,,,,21
Student Survey Entry,2002,Female,,No,,,"Masbate,City Of Masbate (Capital),Espinosa","Less than 50,000",No,Bicol University-Main,State University and Colleges (SUC),Regular,BS Information Technology,Free Higher Education (FHE),,Yes,4,"My family’s socioeconomic status,My enrollment in a state/government school,The type of course I am enrolled in",,Yes,My parents or my other relatives will support it,,Books and other school materials,,1.0,,0.0,0.0,1.0,,,1.0,,,21
Student Survey Entry,2000,Male,,No,,,"Albay,Jovellar,Mabini Pob. (Bgy. 2)","Less than 50,000",No,Bicol University-Main,State University and Colleges (SUC),Irregular,Bachelor of Science in Information Technology,Free Higher Education (FHE),,Yes,7,"My family’s socioeconomic status,The type of course I am enrolled in",,No,My parents or my other relatives will support it,,Books and other school materials,,1.0,,0.0,,1.0,,,1.0,,,23
Student Survey Entry,2001,Male,,No,,,"Albay,Tiwi,Cararayan","Within 50,000 - 100,000",No,Bicol University-Main,State University and Colleges (SUC),Regular,CS Information Technology,Free Higher Education (FHE),,Yes,4,"My enrollment in a state/government school,The type of course I am enrolled in",,Yes,My parents or my other relatives will support it,,Books and other school materials,,1.0,,,0.0,1.0,,,1.0,,,22
Student Survey Entry,2002,Female,,No,,,"Albay,City Of Tabaco,Basud (Pob.)","Less than 50,000",No,Bicol University-Main,State University and Colleges (SUC),Regular,BS Information Technology,Free Higher Education (FHE),,Yes,,"My family’s socioeconomic status,My enrollment in a state/government school,The type of course I am enrolled in",,Yes,I will work part time to support it,,Books and other school materials,,1.0,,0.0,0.0,1.0,,,1.0,,,21
Student Survey Entry,1996,Male,,No,,,"Albay,Legazpi City (Capital),Bgy. 1 - Em's Barrio (Pob.)","Within 50,000 - 100,000",No,Bicol University-Main,State University and Colleges (SUC),Irregular,BSCS,"Free Higher Education (FHE)"",""Tertiary Education Subsidy (TES)",,No,7,The type of course I am enrolled in,,No,I will work part time to support it,,Subsidy for school activities,,0.0,0.0,,,1.0,,,,1.0,,27
Student Survey Entry,2002,Male,,Yes,,,"Abra,Bangued (Capital),Agtangao","Less than 50,000",Yes,Bicol University-Main,State University and Colleges (SUC),Regular,jhkhjkhjk,"Free Higher Education (FHE)"",""Tertiary Education Subsidy (TES)",dfdfdf,Yes,6,My enrollment in a state/government school,,Yes,A patron or donor who is not a relative will support me,,Books and other school materials,,0.0,0.0,,0.0,,,,1.0,,,21
Student Survey Entry,1996,Male,Man,No,,,"Sorsogon,Bulan","100,000 – 124,999",No,Bicol University-Main,State University and Colleges (SUC),Regular,Information Technology Education,,,Yes,6,My family socioeconomic status,,Yes,My parents or my other relatives will support it,,Uniform,,,,1.0,,,,1.0,,,,27
Student Survey Entry,2002,Male,Man,No,,,"Sorsogon,Magallanes","Less than 25,000",No,Sorsogon State University-Bulan Campus,State University and Colleges (SUC),Regular,Information Technology Education,,,Yes,10,My family socioeconomic status,,Yes,My parents or my other relatives will support it,,Uniform,,,,1.0,,,,1.0,,,,21
