SURVEY_NAME,BIRTHDATE,SEX,GENDER,Q1,Q1_YES,Q1_OTHER,ADDRESS,FAMILY_INCOME,Q2,SCHOOL,SCHOOL_TYPE,COURSE,STUDY_YEARS,Q3,Q3_OTHER,Q4,Q4_YES,Q5,Q5_OTHER,Q6,Q7,Q8,Q9,Q9_YES,Q10,Q11,Q12,Q13,Q14,Q14_OTHER,Q5_International employment,Q5_Establish own business,Q5_Others,Q5_Obtain scholarship for graduate school,Q5_local employment (within),Q5_local employment (outside),Q14_Free Higher Education (FHE),Q14_Tertiary Education Subsidy (TES),AGE
Student Survey Exit,2000,Female,LGBTQIA+,No,,,"La Union,Naguilian","Less than 25,000",No,Don Mariano Marcos Memorial State University-Mid La Union,State Universities and Colleges (SUCs),BS Information Technology,4,No,,No,Work in the government for at least 2 years,"Local employment, within the region only ",,10,10,I was able to buy things that I wanted. My parents were delighted that I was able to give them the comfort too. I became more serious in studying so as to not fail and to graduate on time. ,Yes,check the status of students and ensure that equal treatments are implemented.,My family were happy I was able to get a free scholarship. It actually gave them an assurance that I will not pay a big amount of money upon entering college.,,,It is of satisfactory. As it helped me big time while studying.,,,,,,,1.0,,,,23.0
Student Survey Exit,1999,Female,LGBTQIA+,No,,,"La Union,City Of San Fernando (Capital)","Less than 25,000",No,Don Mariano Marcos Memorial State University-Mid La Union,State Universities and Colleges (SUCs),BACHELOR OF SCIENCE IN INFORMATION TECHNOLOGY,5,No,,Yes,,International employment,,10,10,in my whole college it helped me a lot,No,,i dont really afford to get in college so my whole college i was depending it on my scholarships that i have,,,overall is great ,,,1.0,,,,,,,,24.0
Student Survey Exit,2001,Male,Man,No,,,"La Union,City Of San Fernando (Capital)","Less than 25,000",No,Don Mariano Marcos Memorial State University-Mid La Union,State Universities and Colleges (SUCs),"Don Mariano Marcos Memorial State University MLUC, BS Information Technology",4,No,,No,,"Local employment, within the region only ",,10,10,It makes my education easier because of it. My parents don't worry much with my allowance in going to school. It is a big help to me and to my family as well.,No,,UAQTE helps me and my family a lot.,,,UAQTE is so good for us who is not quite rich.,,,,,,,1.0,,,,22.0
Student Survey Exit,2000,Female,LGBTQIA+,No,,,"La Union,Pugo","Less than 25,000",No,Don Mariano Marcos Memorial State University-Mid La Union,State Universities and Colleges (SUCs),BACHELOR OF SCIENCE IN INFORMATION TECHNOLOGY,4,No,,Yes,,International employment,,8,8,UAQTE benefits me and my family. ,No,,As part of a low income family UAQTE really helps me to fullfill my dreams to be able to study.,,,great and excellent,,,1.0,,,,,,,,23.0
Student Survey Exit,2001,Male,Man,No,,,"La Union,Bauang","Less than 25,000",No,Don Mariano Marcos Memorial State University-Mid La Union,State Universities and Colleges (SUCs),"Don Mariano Marcos Memorial State University MLUC, BS Information Technology",4,No,,No,,"Local employment, within the region only ",,10,10,"it makes my life easier as a student, my parents dont worry to much with my allowance",No,,UAQTE  helps me and my family a lot ,,,"my feed back to UAQTE, is very good because it helps student a lot",,,,,,,1.0,,,,22.0
Student Survey Exit,2001,Male,Man,No,,,"La Union,Caba","Less than 25,000",No,Don Mariano Marcos Memorial State University-Mid La Union,State Universities and Colleges (SUCs),"BS Information Technology, Don Mariano Marcos Memorial State University",4,No,,Yes,,"Local employment, within the region only ",,10,10,I experience free funded materials and modules and it makes my studies more easier.,Yes,,UAQTE helps me and my family in financial matters.,,,Very effective and it helps a lots of students in a better future.,,,,,,,1.0,,,,22.0
Student Survey Exit,2000,Female,Woman,No,,,"La Union,Bacnotan","Less than 25,000",No,Don Mariano Marcos Memorial State University-Mid La Union,State Universities and Colleges (SUCs),BS in Information Technology,4,No,,No,,"Local employment, outside of the region ",,9,9,As a beneficiary for the UAQTE,Yes,Please do include the financial necessities on Capstone/Thesis for graduating students.,The impact that the UAQTE gave to me and my family is highly beneficial and we are highly satisfied. There were no issues I caught while being a beneficiary.,,,Overall,,,,,,,,1.0,,,23.0
Student Survey Exit,2001,Male,Man,No,,,"La Union,Balaoan","25,000 – 49,999",No,Don Mariano Marcos Memorial State University-Mid La Union,State Universities and Colleges (SUCs),Bachelor Science Information Technology,4 years,No,,No,,"Local employment, outside of the region ",,10,10,"As on of the beneficiaries of UAQTE, I'm very thankful because it helps me as a student. This benefit give students huge advantage to continue our courses. UAQTE help students financially to finish their courses.",No,,Issues ad challenges that we had encounter most of it is financially problem. I tried to work or apply for a part time job to support my course.,,,UAQTE helps students a lot and they give a huge advantage for students.,,,,,,,,1.0,,,22.0
Student Survey Exit,2000,Male,Man,No,,,"La Union,Balaoan","Less than 25,000",No,Don Mariano Marcos Memorial State University-Mid La Union,State Universities and Colleges (SUCs),BS INFORMATION TECHNOLOGY,4,No,,No,,"Local employment, outside of the region ",,9,9,its very helpful in supporting students who dont have financial freedom. Because it provides financial assistance to the students so that they can pursue what course they wanted,No,,no issues encountered,,,Overall it is very helpful to the students,,,,,,,,1.0,,,23.0
Student Survey Exit,2000,Female,Woman,No,,,"La Union,Bauang","Less than 25,000",No,Don Mariano Marcos Memorial State University-Mid La Union,State Universities and Colleges (SUCs),Information Technology,4,No,,No,,International employment,,8,9,It has provided me a lot more ease due to the fact that FHE has greatly help me lift a financial burden from family. ,Yes,Help in providing financial aid such as thesis fee for graduating students.,"It has provided me a lot more ease due to the fact that FHE has greatly help me lift a financial burden from family. Due to me being an only child, I cannot partake in any scholarship programs to the stigma it has provided in society, so having an FHE greatly helps me and my family help carry a financial burden. ",,,"Overall, It is an amazing experience to be one of many FHE grantees. 




",,,1.0,,,,,,,,23.0
Student Survey Exit,2001,Male,Man,No,,,"La Union,San Juan","Less than 25,000",No,Don Mariano Marcos Memorial State University-Mid La Union,State Universities and Colleges (SUCs),Bachelor of Science in Information Technology,4 years,No,,No,Work in the region (public or private) for at least 2 years,"Local employment, within the region only ",,7,9,Im thankful for I became one of the beneficiaries of the UAQTE it helps me to continue and finish my studies.,No,,This helps me continue and finish my studies also make my family less worry on financing my studies.,,,It good keep it up,,,,,,,1.0,,,,22.0
Student Survey Exit,2001,Female,Prefer not to say,No,,,"La Union,San Juan","Less than 25,000",No,Don Mariano Marcos Memorial State University-Mid La Union,State Universities and Colleges (SUCs),Bachelor of Science in Information technology,4,No,,No,,"Local employment, within the region only ",,3,3,"With free education, my parents can focus on giving me allowance and other expenses such as school activities. UAQTE covers my tuition fee thats why my parents doesn't have to worry about it. Especially me and my sibling is a college student.",Yes,I'm an FHE scholar but I don't know the said consequences or info from question number 14. Maybe they can orient us about the scholarship first or improve the info dissemination. ,It lessen the expenses for my studies. I have encountered an financial problem but with the help of UAQTE my parents and I were able to cope with this issue.,,,Some information such as benefits and after graduation is not implemented ,,,,,,,1.0,,,,22.0
Student Survey Exit,2001,Male,Man,No,,,"La Union,Bauang","Less than 25,000",No,Don Mariano Marcos Memorial State University-Mid La Union,State Universities and Colleges (SUCs),Bachelor of Science in Information Technology,4,No,,No,,Establish own business,,10,10,Dakkel nga parabor kinyami nga estudyante iti atuy nga programa. Nalablabes ngem sobra iti panagyaman mi akas nakatulong a pudno atuy nga prorgrama. Sapay kuma ta adu iti matulungan ken maikkan iti benepisyo.,Yes,Focus on deserving students,"Gapu iti atuy nga programa, asidegen iti panagturpos ko iti panagadal ko.",,,All is well! God bless us all,,,,1.0,,,,,,,22.0
Student Survey Exit,2000,Male,Man,No,,,"La Union,Naguilian","Less than 25,000",No,Don Mariano Marcos Memorial State University-Mid La Union,State Universities and Colleges (SUCs),Bachelor of Science in Information Technology,4,No,,No,,"Local employment, outside of the region ",,10,10,Dakkel a parabor kanyami nga nakurapay ti inted a gundaway iti UAQTE. Agyaman ak nga maysa ak nga napili as maysa nga natulongan. Sapay kuma ta ado pay iti matulungan yu a pada mi.,Yes,adda pay kuma ti allowance na nga ited ti FHE,"Gapu ta maysa ak nga natulungan, agyaman ak pati pamilyak nga nakissayan iti gastos mi ta tallo kami pay nga ageseskwela nga agkakabsat. ",,,Thank you very much!,,,,,,,,1.0,,,23.0
Student Survey Exit,2000,Male,Man,No,,,"La Union,Naguilian","Less than 25,000",No,Don Mariano Marcos Memorial State University-Mid La Union,State Universities and Colleges (SUCs),"Don Mariano Marcos Memorial State University,  Bachelor of Science in Information Technology",4 years,No,,Yes,,"Local employment, within the region only ",,5,5,Unay la ti ragsak ko ta asidegakon makturpos ti pinagadal ko. Agyamanak ti tulong nga inted na ti UAQTE kanyak nga agrigrigat nga estudyante. Sapay kuma addu pay ti matulungan da nga estudyante nga agrigrigat.,Yes,Give some allowance to indigenous people,Natulunganak nga nasayaat panggep ti babaydan ti eskwelaan.,,,Agyamanak ti atoy nga inted yu kanyami nga tulong nga estudyante. Sapay kuma addu matulungan yu. Agyamanak apo.,,,,,,,1.0,,,,23.0
Student Survey Exit,2001,Male,Man,No,,,"La Union,Luna","Less than 25,000",No,Don Mariano Marcos Memorial State University-Mid La Union,State Universities and Colleges (SUCs),"Don Mariano Marcos Memorial State University, Bachelor of Science in Information Technology",4 years,No,,Yes,,International employment,,8,8,"Para digiti kanyami uray lang unay ti yamyaman mi ta dakkel a tulong. Gapo datoy dandani min maragpat ti arapaap min. Agyaman kami, sapae kuma ta tultuloy ti panangtulong yu dagiti dadduma.",Yes,Some allowance per semester,Dakkel a tulong toy panggep iti pinansiyal a banag inti pamilya mi. ,,,This is very helpful to us a student.THANK YOU SO MUCH. Sapae kuma ta agtultuloy,,,1.0,,,,,,,,22.0
Student Survey Exit,2000,Female,Prefer not to say,No,,,"La Union,Caba","Less than 25,000",No,Don Mariano Marcos Memorial State University-Mid La Union,State Universities and Colleges (SUCs),"Don Mariano Marcos Memorial State University, Bachelor of Science in Information Technology",4 years,No,,Yes,,"Local employment, within the region only ",,7,7,"It is very helpful to us. Nang-nangruna kadagiti makasapul launay. Agyaman kami ti UAQTE ti naited da nga tulong. Sapay lang kuma ta agtultuloy ti pinagtulong da kanyami, kun kadagiti padak nga studyante.",Yes,Give some allowance to indigenous people,Natulungan dak gapu kadagiti babaydan.,,,Agyamyaman nak unay kadagiti naitulong da kanyak. Agyaman kami apo. ,,,,,,,1.0,,,,23.0
Student Survey Exit,2000,Female,Man,No,,,"La Union,City Of San Fernando (Capital)","Less than 25,000",No,Don Mariano Marcos Memorial State University-Mid La Union,State Universities and Colleges (SUCs),BS Information Technology,4 years,No,,No,Work in the government for at least 2 years,"Local employment, within the region only ",,7,7,as a beneficiaries i will take this for the future,Yes,to check the status of student, i will finish my study and be proud my family that i can do my finish everything,,,it so edification,,,,,,,1.0,,,,23.0
Student Survey Exit,1998,Male,Man,No,,,"La Union,City Of San Fernando (Capital)","Less than 25,000",No,Don Mariano Marcos Memorial State University-Mid La Union,State Universities and Colleges (SUCs),Bachelor of Science in Information Technology,4,No,,No,,"Local employment, within the region only ",,8,6,Its is helpful to us especially in financial support,Yes,Give some allowance,Agyaman kami ti naited nga tulong ti UAQTE,,,Agyaman kami,,,,,,,1.0,,,,25.0
Student Survey Exit,2001,Male,Man,No,,,"La Union,Bauang","Less than 25,000",No,Don Mariano Marcos Memorial State University-Mid La Union,State Universities and Colleges (SUCs),Bachelor of Science in Information Technology,4,No,,No,,"Local employment, within the region only ",,9,10,Dakkel a tulong kinyami nga managririgat. Nakissayan ti dagsen na ti rigat iti biyag ken gastusen para panagadal. Agyamanak ti amin,Yes,Nayunan,Dakkel a tulong,,,agyamanak ti amin,,,,,,,1.0,,,,22.0
Student Survey Exit,2001,Female,Prefer not to say,No,,,"La Union,City Of San Fernando (Capital)","Less than 25,000",No,Don Mariano Marcos Memorial State University-Mid La Union,State Universities and Colleges (SUCs),Bachelor of Science in Information Technology,4,No,,No,,"Local employment, outside of the region ",,9,9,"UAQTE helped my parents to save money for my studies. It is great opportunity for me as a student to study in a university without worrying of the fees. UAQTE made me experience that education should be free and quality.
",No,,"UAQTE helped my family to save money--no worries on the fees just like tuition fee. I didn't encounter any challenges or issues.
",,,"The implementation of UAQTE is a great help for quality education.
",,,,,,,,1.0,,,22.0
Student Survey Exit,2000,Female,Woman,No,,,,"Less than 25,000",No,Bicol University-Main,State Universities and Colleges (SUCs),Bachelor of Arts in English Language ,4 years,No,,Yes,Work in the country (public or private) for at least 2 years,International employment,,7,8,It is very helpful in my studies. This program made it possible for me to continue studying in college. ,Yes,Increase the budget for scholarship.,N/A ,,,"It is very helpful in the students, but I hope TES scholarship will cover all college students specially those who are in public universities.",,,1.0,,,,,,,,23.0
Student Survey Exit,2001,Female,Woman,No,,,"Sorsogon,Bulan","Less than 25,000",No,Sorsogon State University-Main,State Universities and Colleges (SUCs),Undergraduate,,No,,No,,"Local employment, outside of the region ",,5,5,"As a student, it is really a good help for us to have a free quality education. It lessens our financial burdens for family who's financing me in my study. ",Yes,,It really allowed me to have the quality education I need in  order to pursue my dreams.,,,It is really a great opportunity for students especially those who don't have the means to support their studies. It gives them hope that their dreams are still possible to happen. ,,,,,,,,1.0,,,22.0
Student Survey Exit,1998,Male,Man,No,,,Camarines Norte,"Less than 25,000",No,Camarines Norte College,State Universities and Colleges (SUCs),BS IT,2019 to 2020,,,Yes,Work in the country (public or private) for at least 2 years,"Local employment, within the region only ",,10,10,Good,No,,It helped me,,,,,,,,,,1.0,,,,25.0
Student Survey Exit,1998,Male,Man,No,,,Camarines Norte,"Less than 25,000",No,Camarines Norte College,State Universities and Colleges (SUCs),BS IT,2019 to 2020,,,Yes,Work in the country (public or private) for at least 2 years,"Local employment, within the region only ",,10,10,Good,No,,It helped me,,,,,,,,,,1.0,,,,25.0
Student Survey Exit,2000,Male,Man,No,,,"Camarines Norte,Labo","Less than 25,000",No,Mabini Colleges,Private Higher Institutions,Bachelor of Science in Computer Science ,2019-2023,No,,No,,"Local employment, outside of the region ",,5,10,Experiencing free education,Yes,Give it before the endollment process,It gives me to access free education in college. The challenges that i encounter is to budget.,,,It is very helpful for those students who cannot enroll in college due to lack of money,,,,,,,,1.0,,,23.0
Student Survey Exit,2000,Male,Man,No,,,"Camarines Norte,Labo","Less than 25,000",No,Mabini Colleges,Private Higher Institutions,Bachelor of Science in Computer Science ,2019-2023,No,,No,,"Local employment, outside of the region ",,5,10,Experiencing free education,Yes,Give it before the endollment process,It gives me to access free education in college. The challenges that i encounter is to budget.,,,It is very helpful for those students who cannot enroll in college due to lack of money,,,,,,,,1.0,,,23.0
Student Survey Exit,2000,Male,Man,No,,,"Camarines Norte,Labo","Less than 25,000",No,Mabini Colleges,Private Higher Institutions,Bachelor of Science in Computer Science ,2019-2023,No,,No,,"Local employment, outside of the region ",,8,9,Experiencing such free education when we are actually studying in a private higher education is such a great thing. It is thanks to the educational scholarship that has given to us by the CHED RO5. It is of greta help for us. ,Yes,It can be improved through the fast and up to date information dissemination mostly to those area that needed the update regarding some matters. ,Because of UAQTE we have high hopes that we can find better job after we finished our educational endeavors. ,,,It is great. ,,,,,,,,1.0,,,23.0
Student Survey Exit,2000,Male,Man,No,,,"Albay,Polangui","Less than 25,000",No,Bicol University-Polangui Campus,Local Universities and Colleges (LUCs),,4 years,No,,Yes,Work in the government for at least 2 years,International employment,,9,9,I'm very glad that I'm one of the beneficiary of UAQTE. This scholarship  helps me a lot in financial needs in my education. This scholarship will serve to me as stepping stone onward  success ,Yes,Through online transactions,This helps the family in terms of financial issues especially if both parents hasn't a stable job to provide for their children ,,,Very satisfied ,,,1.0,,,,,,,,23.0
Student Survey Exit,2000,Female,Woman,No,,,"Albay,Oas","Less than 25,000",No,Bicol University-Polangui Campus,State Universities and Colleges (SUCs),,,No,,Yes,Work in the government for at least 2 years,"Local employment, outside of the region ",,8,9,As one of TES grantees.I am very thankful for the TES program because it helps me get to college without worrying too much about the others expenses.,Yes,,I am very thankful for the TES program because it helps me get to college without worrying too much about the others expenses.,,,It helps me a lot not only in my study but also in my family to not too much worry about my expense in school .,,,,,,,,1.0,,,23.0
Student Survey Exit,1999,Female,Woman,No,,None ,"Sorsogon,City Of Sorsogon (Capital)","Less than 25,000",Yes,The Lewis College,Private Higher Institutions,"College, BSBA- MARKETING MANAGEMENT ",4 years,No,,Yes,Work in the region (public or private) for at least 2 years,"Local employment, within the region only ",,10,10,The scholarship that was given to me is helpful to finance my tuition fee. And able to help my mother for other expenses. ,Yes,Time Management of Releasing the Money,Helpful ,Preparing many requirements ,Asking and handling it properly.,Good ,,,,,,,1.0,,,,24.0
Student Survey Exit,1999,Female,Woman,No,,,"Sorsogon,City Of Sorsogon (Capital)","Less than 25,000",No,The Lewis College,Private Higher Institutions,BSBA - operation Management ,4 years ,No,,No,,"Local employment, within the region only ",,10,10,,Yes,,,"Delay of the scholarships.
At Isang Taon at kalahati ng scholarships ko Ang Hindi ko makukuha",,,,,,,,,1.0,,,,24.0
Student Survey Exit,1999,Female,Woman,No,,,"Sorsogon,City Of Sorsogon (Capital)","Less than 25,000",No,The Lewis College,Private Higher Institutions,Bachelor of Elementary Education ,4 years ,No,,Yes,Work in the country (public or private) for at least 2 years,"Local employment, within the region only ",,10,10,"When I found out I didn’t get into public school or university here I got disapointed to myself and I lost hope but luckily I was given a chance to pursue my college study. 
I am lucky and blessed to be a TES GRANTEE since 2019 and because of Tertiary Education Subsidy I was able to pay all the tuition fee and expenses in school as well as to have my allowance.
I thank God for all the blessings he gave me, to CHED UNIFAST thank you so much, to our Focal Person Ma'am Mutya and to all the staff of TLC Scholarship who tirelessly organizes and handles paperwork to distribute the subsidy for students. Maraming Salamat po sainyong lahat. Godbless☺",Yes,Add more lucky students to be given the chance to study free.,It allows me to finish my study and reduce the burden of my family in paying tuition fee.,sometimes the release of funds is slowband I happen to have a lot of bills so I'm struggling.,patiently waiting.,It promotes universal access to quality tertiary education.,,,,,,,1.0,,,,24.0
Student Survey Exit,1997,Male,Man,No,,,"Sorsogon,Gubat","Less than 25,000",No,The Lewis College,Private Higher Institutions,"The Lewis College, BSIT",2022-2023,No,,No,,"Local employment, outside of the region ",,10,10,very satisfy as being part of it,No,,thank you ,traveling for going to school,just to be on time,thank you for the financial support you give us ,,,,,,,,1.0,,,26.0
Student Survey Exit,1999,Male,Man,Yes,,Sorsogon,"Sorsogon,Casiguran","Less than 25,000",Yes,The Lewis College,Private Higher Institutions,College Graduate @ The Lewis College (Bachelor of Science and Business Administration- Major in Operations Management) ,2018-2022,No,,Yes,,"Local employment, outside of the region ",,10,10,Most important for the students who avail a scholarship,Yes,By having more funds to the students who avail scholarship,More effective and important to me because my family not consume more money or waste ,To sacrifices my self on the activities in the school mainly to finish my college ,By being positive always not conclude the negatives ,Give more chance to some students who avail scholarship ,,,,,,,,1.0,,,24.0
Student Survey Exit,2000,Male,Man,No,,,"Sorsogon,Castilla","Less than 25,000",Yes,Computer Communication Development Institute-Sorsogon,Private Higher Institutions,Computer Communication Development Institute - TVL - Programming,4,No,,No,,"Local employment, outside of the region ",,10,1,Im not UAQTE beneficiary ,No,,,Pandemic ,Online Learning ,Excellent ,,,,,,,,1.0,,,23.0
Student Survey Exit,1998,Female,Woman,No,,,"Sorsogon,Barcelona","Less than 25,000",Yes,The Lewis College,Private Higher Institutions,Bachelor of Elementary Education,4 years,No,,Yes,,"Local employment, within the region only ",,9,10,"I'm happy to say that I'm one of the beneficiaries of the UAQTE, it helps me to finish my study. Because of the UAQTE my parents are no longer to sacrifice were the money should they need to get for my tuition. But because of the UAQTE helps me to get my school year better. Thank you so much from the bottom of my heart please continue to help others to get their life become better too. From The Lewis College student and beneficiaries of UAQTE Thank you so much and God blessed. ",Yes,I suggest that no matter what happens please continue to help others. ,The best UAQTE. ,Nothing,Nothing,Please continue to help the students to finish their studies. ,,,,,,,1.0,,,,25.0
Student Survey Exit,2000,Female,Woman,No,,,"Sorsogon,City Of Sorsogon (Capital)","Less than 25,000",Yes,The Lewis College,Private Higher Institutions,BSBA-MAJOR IN OPERATIONS MANAGEMENT,2018-2022,Yes,,Yes,Work in the country (public or private) for at least 2 years,"Local employment, within the region only ",,8,10,I am very gratefull ang blessed to become one of the beneficiary. Thank very much. ,Yes,,It helps me to pay my tuitution fee,,,Very grreat,,,,,,,1.0,,,,23.0
Student Survey Exit,2000,Male,Man,Yes,,Agta tabangnon,"Sorsogon,Prieto Diaz","Less than 25,000",Yes,The Lewis College,Private Higher Institutions,"Bachelor of Science in Information Technology, graduated from The Lewis College",2018 to 2022,No,,No,,"Local employment, within the region only ",,7,10,"It helps me to finish my study without worrying about my tuition, also it gives me more dedication to finish my study and give my best to return my free education and as a student of The Lewis College, I'm so thankful to be part of this scholarship.",No,,The impact of UAQTE to my family is that we are not worrying about my tuition and I have more time in my study.,,,It is more helpful for the students who needs financial support.,,,,,,,1.0,,,,23.0
Student Survey Exit,2000,Female,LGBTQIA+,No,,,"Sorsogon,City Of Sorsogon (Capital)","Less than 25,000",Yes,,Local Universities and Colleges (LUCs),,,No,,No,,"Local employment, outside of the region ",,7,10,It gives me and my family money for our expenses ,Yes,Atleast send the allowance early or the year endv x,Nagkaroon kami ng ibang pagkukunan ng pang tuition,,,It's good and very much thankful ang daming makakagraduate dahil dito,,,,,,,,1.0,,,23.0
Student Survey Exit,2000,Female,Woman,No,,filipino,"Sorsogon,City Of Sorsogon (Capital)","Less than 25,000",No,Computer Communication Development Institute-Sorsogon,Local Universities and Colleges (LUCs),Bachelor of Science Information System,4,No,,No,,"Others, please specify",,5,6,,No,,,,,,,,,,1.0,,,,,,23.0
Student Survey Exit,1998,Male,Man,No,,,"Sorsogon,City Of Sorsogon (Capital)","Less than 25,000",No,The Lewis College,Private Higher Institutions,,4th year college  BSIT ,Yes,,Yes,,International employment,,6,10,It help me a lot in school,Yes,More students can get scholarship,Help me in school tuition & budget allowance ,,,Thank you very much,,,1.0,,,,,,,,25.0
Student Survey Exit,1997,Female,LGBTQIA+,No,,,"Sorsogon,Bulusan","Less than 25,000",No,The Lewis College,Private Higher Institutions,The Lewis College - Bachelor in Elementary Education ,2018-2022,No,,No,,"Local employment, within the region only ",,9,9,"Lessen the burden for my tuition fee.
I got to buy a new phone for my study.
It helped me for my allowance and school necessity.
",No,,It helped us to lessen the financial problem in my study.,,,It really helped me in my study which is it lessen the burden in financial issues specially on my tuition fee.,,,,,,,1.0,,,,26.0
Student Survey Exit,1993,Male,Man,No,,,"Sorsogon,Bulusan","Less than 25,000",No,The Lewis College,Private Higher Institutions,"The Lewis College, Bachelor in Elementary Education ",2018-2022,No,,No,,"Local employment, within the region only ",,9,10,"I bought a laptop which is beneficial to my studies. I do not need to worry my financial expenses such allowance and tuition fee, I focused more on studying. Thank you so much Unifast the this opportunity.",Yes,Please continue and support this program. Look for the most deserving students mostly from poor family. There are still many deserving students who are qualified for the schoolarship but they do not have the chance to be included as grantee.,I finished my college education and I am now a degree holder. My parents do not need to worry about my expenses in school.,The releasing date of Unifast which is sometimes delayed. I  have no choice but to provide my own money just to pay the required amount needed in school.,I saved my extra money and sometimes I borrow.,All I can say is I am so much grateful with this UAQTE and it is really helpful.,,,,,,,1.0,,,,30.0
